"Company","Parent","Penalty","Year","Date","Agency"
"Terressentia Corporation",NA,25000,2018,2018-10-01,"Alcohol and Tobacco Tax and Trade Bureau"
"TDJ, Inc., dba Christensen Arms",NA,750000,2018,2018-10-15,"Alcohol and Tobacco Tax and Trade Bureau"
"Liberty Ammunition Inc.",NA,15367,2018,2018-11-05,"Alcohol and Tobacco Tax and Trade Bureau"
"Elgin Beverage Co.",NA,325000,2018,2018-11-08,"Alcohol and Tobacco Tax and Trade Bureau"
"Sun Liquor MFG, Inc.",NA,1300000,2019,2019-03-08,"Alcohol and Tobacco Tax and Trade Bureau"
"QAC LLC",NA,1500000,2018,2018-12-04,"Alcohol and Tobacco Tax and Trade Bureau"
"Mark Ryan Winery, LLC",NA,6200,2018,2018-11-29,"Alcohol and Tobacco Tax and Trade Bureau"
"Heritage Tobacco LLC",NA,20000,2019,2019-05-15,"Alcohol and Tobacco Tax and Trade Bureau"
"Crown Imports LLC",NA,420000,2019,2019-05-06,"Alcohol and Tobacco Tax and Trade Bureau"
"Heineken USA Incorporated","Heineken",2500000,2019,2019-03-26,"Alcohol and Tobacco Tax and Trade Bureau"
"Aala Produce Inc.",NA,322374,2019,2019-03-22,"Alcohol and Tobacco Tax and Trade Bureau"
"Smokes & Such, LLC",NA,25000,2019,2019-03-22,"Alcohol and Tobacco Tax and Trade Bureau"
"Still Smokin LLC",NA,25000,2019,2019-03-14,"Alcohol and Tobacco Tax and Trade Bureau"
"Brewers Distributing Company",NA,350000,2019,2019-03-08,"Alcohol and Tobacco Tax and Trade Bureau"
"Industry City Distillery Inc.",NA,53668,2019,2019-08-05,"Alcohol and Tobacco Tax and Trade Bureau"
"LFS, Inc.",NA,125000,2019,2019-06-20,"Alcohol and Tobacco Tax and Trade Bureau"
"SS Tobacco LLC",NA,6e+05,2019,2019-07-09,"Alcohol and Tobacco Tax and Trade Bureau"
"Vinifera Wine Company LLC",NA,20000,2019,2019-07-09,"Alcohol and Tobacco Tax and Trade Bureau"
"Willie's Distillery, Inc.",NA,3e+05,2019,2019-06-28,"Alcohol and Tobacco Tax and Trade Bureau"
"Vinpak Inc.",NA,61000,2019,2019-11-12,"Alcohol and Tobacco Tax and Trade Bureau"
"Seven Brides Brewing Company",NA,18230,2019,2019-11-01,"Alcohol and Tobacco Tax and Trade Bureau"
"Mastermind Vodka Inc.",NA,45600,2019,2019-10-25,"Alcohol and Tobacco Tax and Trade Bureau"
"Southern Estates Investments, LLC, dba Palmetto Moonshine",NA,185000,2019,2019-09-03,"Alcohol and Tobacco Tax and Trade Bureau"
"Excel Industries, Inc.",NA,65000,2019,2019-08-22,"Alcohol and Tobacco Tax and Trade Bureau"
"Lake Erie Tobacco Company",NA,4333129,2020,2020-01-28,"Alcohol and Tobacco Tax and Trade Bureau"
"Pierre Perales",NA,10000,2019,2019-12-16,"Alcohol and Tobacco Tax and Trade Bureau"
"Stern Beverage, Inc.",NA,350000,2019,2019-12-13,"Alcohol and Tobacco Tax and Trade Bureau"
"Carisam-Samuel Meisel",NA,450000,2019,2019-12-13,"Alcohol and Tobacco Tax and Trade Bureau"
"Anheuser-Busch, LLC","Anheuser-Busch InBev",5e+06,2020,2020-07-09,"Alcohol and Tobacco Tax and Trade Bureau"
"Civitas Therapeutics",NA,516636,2020,2020-10-27,"Alcohol and Tobacco Tax and Trade Bureau"
"Bottle Tree Beverage Company, LLC",NA,195000,2020,2020-09-11,"Alcohol and Tobacco Tax and Trade Bureau"
"Idaho Bourbon Distillers, LLC",NA,10000,2020,2020-09-11,"Alcohol and Tobacco Tax and Trade Bureau"
"Smoke Zone LLC",NA,25000,2020,2020-09-11,"Alcohol and Tobacco Tax and Trade Bureau"
"Jacobs Tobacco Company",NA,114174,2020,2020-08-25,"Alcohol and Tobacco Tax and Trade Bureau"
"Eagle Alcohol Company LLC","Alto Ingredients",7500,2020,2020-08-13,"Alcohol and Tobacco Tax and Trade Bureau"
"Fabrizia Spirits, LLC",NA,75000,2020,2020-12-16,"Alcohol and Tobacco Tax and Trade Bureau"
"Cooperstown Distillery, LLC",NA,32500,2021,2021-05-24,"Alcohol and Tobacco Tax and Trade Bureau"
"Sara, Inc.",NA,20000,2021,2021-05-10,"Alcohol and Tobacco Tax and Trade Bureau"
"Levecke Corporation",NA,28578944,2021,2021-05-06,"Alcohol and Tobacco Tax and Trade Bureau"
"RN Acquisition, LLC & City Beverage - Markham, LLC",NA,850000,2021,2021-04-15,"Alcohol and Tobacco Tax and Trade Bureau"
"Stone Brewing Co., LLC",NA,1804430,2021,2021-03-10,"Alcohol and Tobacco Tax and Trade Bureau"
"Iowa Beverage Systems, Inc.",NA,325000,2021,2021-09-03,"Alcohol and Tobacco Tax and Trade Bureau"
"Global Universal SRL",NA,130000,2021,2021-08-17,"Alcohol and Tobacco Tax and Trade Bureau"
"Latitude 33 Brewing Company",NA,160217,2021,2021-07-29,"Alcohol and Tobacco Tax and Trade Bureau"
"Alaska Commercial Company",NA,433382,2021,2021-06-21,"Alcohol and Tobacco Tax and Trade Bureau"
"Smith & Wesson Sales Company","Smith & Wesson",1729000,2021,2021-06-18,"Alcohol and Tobacco Tax and Trade Bureau"
"ND Cigars, Inc.",NA,115000,2021,2021-06-17,"Alcohol and Tobacco Tax and Trade Bureau"
"Sun Liquor MFG, Inc.",NA,9e+05,2021,2021-09-27,"Alcohol and Tobacco Tax and Trade Bureau"
"RYO Cigarettes of Nevada Inc. DBA Double D's Tobacco Emporium",NA,210000,2021,2021-10-26,"Alcohol and Tobacco Tax and Trade Bureau"
"RYO Cigarettes of Nevada, Inc. DBA Smoke 4 Less",NA,140000,2021,2021-10-26,"Alcohol and Tobacco Tax and Trade Bureau"
"Schmaltz Brewing Company LLC",NA,2e+05,2021,2021-12-07,"Alcohol and Tobacco Tax and Trade Bureau"
"Mariposa Wine Company LLC D/B/A Mariposa Wine Company",NA,58437,2021,2021-11-15,"Alcohol and Tobacco Tax and Trade Bureau"
"Decon Laboratories, Inc.",NA,3200000,2021,2021-12-10,"Alcohol and Tobacco Tax and Trade Bureau"
"Fifth Generation, Inc.",NA,305000,2022,2022-01-18,"Alcohol and Tobacco Tax and Trade Bureau"
"Doll Distributing LLC",NA,225000,2022,2022-01-10,"Alcohol and Tobacco Tax and Trade Bureau"
"Transchemical Incorporated",NA,15000,2022,2022-05-02,"Alcohol and Tobacco Tax and Trade Bureau"
"Greenbrush Brewing Co.",NA,25000,2022,2022-04-15,"Alcohol and Tobacco Tax and Trade Bureau"
"New Tobacco King",NA,40000,2022,2022-04-05,"Alcohol and Tobacco Tax and Trade Bureau"
"Crescent Brewery LLC",NA,7400,2022,2022-03-09,"Alcohol and Tobacco Tax and Trade Bureau"
"Dallas Distilleries Incorporated",NA,73000,2022,2022-08-15,"Alcohol and Tobacco Tax and Trade Bureau"
"Newburyport Brewing Company",NA,83070,2022,2022-07-06,"Alcohol and Tobacco Tax and Trade Bureau"
"Davos Brands LLC",NA,30000,2022,2022-03-11,"Alcohol and Tobacco Tax and Trade Bureau"
"La Colombe Distilling, LLC",NA,61510,2022,2022-10-26,"Alcohol and Tobacco Tax and Trade Bureau"
"Savage Arms, Inc.",NA,8e+05,2022,2022-09-13,"Alcohol and Tobacco Tax and Trade Bureau"
"Midway Wholesalers, Inc.",NA,250000,2022,2022-07-19,"Alcohol and Tobacco Tax and Trade Bureau"
"MOA Rifles, LLC",NA,1e+05,2022,2022-06-22,"Alcohol and Tobacco Tax and Trade Bureau"
"Bayou Teche Brewing L.L.C.",NA,77600,2022,2022-11-30,"Alcohol and Tobacco Tax and Trade Bureau"
"Abu Nawas Beverage Company LLC",NA,25000,2022,2022-11-21,"Alcohol and Tobacco Tax and Trade Bureau"
"Excel Industries, Inc.",NA,44527,2023,2023-01-10,"Alcohol and Tobacco Tax and Trade Bureau"
"Allied Wine Corp.",NA,55000,2023,2023-08-17,"Alcohol and Tobacco Tax and Trade Bureau"
"Shacksbury Holdings Inc.",NA,68631,2023,2023-06-27,"Alcohol and Tobacco Tax and Trade Bureau"
"Cutwater Spirits, LLC",NA,169850,2023,2023-06-09,"Alcohol and Tobacco Tax and Trade Bureau"
"Signature Selections, LLC",NA,90000,2023,2023-04-05,"Alcohol and Tobacco Tax and Trade Bureau"
"Park Street Imports, LLC",NA,350000,2023,2023-03-30,"Alcohol and Tobacco Tax and Trade Bureau"
"Marosi Designs LLC",NA,37500,2023,2023-11-28,"Alcohol and Tobacco Tax and Trade Bureau"
"Far East Ship Supply",NA,60000,2023,2023-11-29,"Alcohol and Tobacco Tax and Trade Bureau"
"RWC Group LLC",NA,1776836,2023,2023-11-22,"Alcohol and Tobacco Tax and Trade Bureau"
"Seattle Cider Company, LLC",NA,12000,2023,2023-09-06,"Alcohol and Tobacco Tax and Trade Bureau"
"1-800-BAR NONE, A FINANCIAL C",NA,50001,2008,2008-01-14,"Employee Benefits Security Administration"
"AAA ENTERTAINMENT LLC",NA,50001,2006,2006-08-21,"Employee Benefits Security Administration"
"Aaron Enterprises Inc",NA,50001,2009,2009-09-04,"Employee Benefits Security Administration"
"ABBEY PARTY RENTS OF WASH INC",NA,100001,2014,2014-05-23,"Employee Benefits Security Administration"
"A. C. FREIGHT SYSTEMS",NA,50001,2005,2005-05-16,"Employee Benefits Security Administration"
"ACCOR NORTH AMERICA CORPORATION",NA,50001,2008,2008-01-14,"Employee Benefits Security Administration"
"ACE TRUCKING COMPANY, INC.",NA,50001,2007,2007-02-06,"Employee Benefits Security Administration"
"ADAMS BROTHERS PRODUCE COMPANY, INC",NA,50001,2004,2004-02-17,"Employee Benefits Security Administration"
"ADAMS, HARKNESS & HILL, INC",NA,50001,2006,2006-10-02,"Employee Benefits Security Administration"
"ADELANO CORPORATION OF MICHIGAN",NA,50001,2006,2006-06-27,"Employee Benefits Security Administration"
"Advanced Communication Technology, Inc.",NA,100001,2006,2006-07-28,"Employee Benefits Security Administration"
"AEHR TEST SYSTEMS","Aehr Test Systems",50001,2007,2007-02-23,"Employee Benefits Security Administration"
"AEHR TEST SYSTEMS","Aehr Test Systems",50001,2006,2006-12-11,"Employee Benefits Security Administration"
"AEROVOX INC.",NA,50001,2005,2005-09-07,"Employee Benefits Security Administration"
"AFFORDABLE FIRE PROTECTION, INC.",NA,50001,2008,2008-11-10,"Employee Benefits Security Administration"
"AHLSTROM USA, INC.","Bain Capital",50001,2008,2008-02-08,"Employee Benefits Security Administration"
"AIRPORT HOSPITALITY, LTD",NA,50001,2006,2006-11-13,"Employee Benefits Security Administration"
"A.J. Desjardins Roofing Co",NA,100001,2006,2006-11-27,"Employee Benefits Security Administration"
"AKERS NATIONAL ROLL",NA,50001,2007,2007-02-12,"Employee Benefits Security Administration"
"AKERS NATIONAL ROLL",NA,50001,2006,2006-03-27,"Employee Benefits Security Administration"
"ALBANY IVF FERTILITY & GYNECOLOGY",NA,50001,2017,2017-03-27,"Employee Benefits Security Administration"
"ALEXIS PARK RESORT",NA,50001,2006,2006-12-04,"Employee Benefits Security Administration"
"ALL WEST CONSTRUCTION, INC",NA,50001,2009,2009-04-20,"Employee Benefits Security Administration"
"ALLIANCE PHARMACEUTICAL CORP.",NA,50001,2008,2008-09-15,"Employee Benefits Security Administration"
"ALLIANCE RESIDENTIAL MANAGEMENT",NA,50001,2009,2009-09-14,"Employee Benefits Security Administration"
"Allied Construction Services, Inc.",NA,100001,2014,2014-04-14,"Employee Benefits Security Administration"
"ALLIS-CHALMERS ENERGY, INC.","Archer Limited",50001,2008,2008-11-24,"Employee Benefits Security Administration"
"ALOHA AIRLINES, INC.",NA,50001,2007,2007-03-14,"Employee Benefits Security Administration"
"ALTERNATIVE EMPLOYEE SOLUTIONS, INC. 401K PLAN TRUST AGREEMENT",NA,50001,2005,2005-03-21,"Employee Benefits Security Administration"
"AMBASSADORS INTERNATIONAL, INC.",NA,50001,2008,2008-12-15,"Employee Benefits Security Administration"
"AMERICAN ELECTRONICS ASSOCIATION",NA,100001,2008,2008-02-08,"Employee Benefits Security Administration"
"American Fabrics Company",NA,100001,2005,2005-08-22,"Employee Benefits Security Administration"
"AMERICAN INTERNATIONAL GROUP INC GROUP LIFE & MEDICAL INSURANCE PLAN","American International Group",50001,2005,2005-12-12,"Employee Benefits Security Administration"
"AMERICAN RESORTS INTERNATIONAL, LTD.",NA,50001,2005,2005-07-26,"Employee Benefits Security Administration"
"AMERICAN ROLL FORMED PRODUCTS CORP.",NA,50001,2017,2017-03-15,"Employee Benefits Security Administration"
"AMERICAN RUBBER PRODUCTS CORP.",NA,50001,2006,2006-12-04,"Employee Benefits Security Administration"
"AMERICAN SPORTING GOODS CORPORATION",NA,50001,2006,2006-10-01,"Employee Benefits Security Administration"
"AMERICAN WASTE FIBERS COMPANY PROFIT SHARING PLAN",NA,50001,2004,2004-01-05,"Employee Benefits Security Administration"
"AMERICAN WATER SERVICES OPERATIONS & MAINTENANCE","American Water Works",50001,2007,2007-01-22,"Employee Benefits Security Administration"
"Americana Companies & Affiliates",NA,100001,2008,2008-05-22,"Employee Benefits Security Administration"
"AMERIS OF ARKANSAS, LLC",NA,50001,2009,2009-10-19,"Employee Benefits Security Administration"
"Anchorage Nissan, Inc.",NA,50001,2007,2007-06-13,"Employee Benefits Security Administration"
"ANDIN INTERNATIONAL, INC.",NA,50001,2009,2009-12-07,"Employee Benefits Security Administration"
"ANNAPOLIS JEWELRY & LOAN, INC.",NA,101000,2017,2017-03-23,"Employee Benefits Security Administration"
"ANTHONY HOLDINGS INTERNATIONAL, INC.",NA,50001,2006,2006-12-02,"Employee Benefits Security Administration"
"Applegate Drayage Company",NA,50001,2007,2007-04-16,"Employee Benefits Security Administration"
"ARES GROUP, INC.",NA,50001,2012,2012-09-18,"Employee Benefits Security Administration"
"ARGENTA US HOLDINGS LIMITED",NA,50001,2017,2017-06-05,"Employee Benefits Security Administration"
"ASSET PROTECTION AND SECURITY SERVICES LLP",NA,50001,2009,2009-09-21,"Employee Benefits Security Administration"
"ATLAS FENCE COMPANY, INC.",NA,50001,2006,2006-03-23,"Employee Benefits Security Administration"
"Augusta Medical Complex Retirement Plan",NA,50001,2004,2004-12-16,"Employee Benefits Security Administration"
"Automated Marine Propulsion Systems, Inc.",NA,100001,2003,2003-11-24,"Employee Benefits Security Administration"
"AUTOPARTS WHOLESALE",NA,50001,2005,2005-05-31,"Employee Benefits Security Administration"
"BANK OF LODI",NA,50001,2007,2007-05-14,"Employee Benefits Security Administration"
"BARJAN PRODUCTS, L.L.C.",NA,50001,2008,2008-02-08,"Employee Benefits Security Administration"
"BARNEYS NEW YORK, INC.",NA,50001,2006,2006-03-27,"Employee Benefits Security Administration"
"Battlespace Flight Services, LLC",NA,50001,2014,2014-09-03,"Employee Benefits Security Administration"
"BECKER GROUP, L.L.C.",NA,50001,2005,2005-08-01,"Employee Benefits Security Administration"
"BEMS Inc",NA,50001,2009,2009-01-09,"Employee Benefits Security Administration"
"B. K. ENTERTAINMENT, INC.",NA,50001,2003,2003-08-04,"Employee Benefits Security Administration"
"BLUE RIDGE FARMS, INC.",NA,50001,2004,2004-12-27,"Employee Benefits Security Administration"
"BOB HOLTZ SERVICES INC.",NA,50001,2009,2009-08-24,"Employee Benefits Security Administration"
"BOB HOLTZ SERVICES INC.",NA,50001,2010,2010-11-01,"Employee Benefits Security Administration"
"Bobby E Wright Comprehensive Comm Mental Health",NA,100001,2000,2000-11-03,"Employee Benefits Security Administration"
"BONDED LIGHTNING PROTECTION SYSTEMS , LTD",NA,50001,2012,2012-07-23,"Employee Benefits Security Administration"
"Bonne, Bridges, Mueller, O'Keefe & Nichols Professional Corporation",NA,50001,2006,2006-12-18,"Employee Benefits Security Administration"
"BOOSEY & HAWKES INC.",NA,50001,2005,2005-07-05,"Employee Benefits Security Administration"
"BORDER MANAGEMENT CORPORATION",NA,50001,2005,2005-08-01,"Employee Benefits Security Administration"
"Bowcutter Technologies, Inc.",NA,50001,2003,2003-09-29,"Employee Benefits Security Administration"
"BRANFORD CHAIN, INC.",NA,50001,2009,2009-11-09,"Employee Benefits Security Administration"
"BREITKREUZ MOLDS & PLASTICS, INC.",NA,50001,2005,2005-01-18,"Employee Benefits Security Administration"
"Briar Hill Stone Company",NA,100001,2015,2015-06-01,"Employee Benefits Security Administration"
"BRIGGS PLUMBING PRODUCTS, INC",NA,50001,2006,2006-10-16,"Employee Benefits Security Administration"
"Brody Deposition Services Inc.",NA,100001,2015,2015-11-12,"Employee Benefits Security Administration"
"BROOKHAVEN SCIENCE ASSOCIATES, LLC","Brookhaven Science Associates LLC",50001,2007,2007-10-22,"Employee Benefits Security Administration"
"The Brown Schools Inc. 401k Retirement & Savings Plan0",NA,50001,2005,2005-12-12,"Employee Benefits Security Administration"
"Brunswick Hospital Center, Inc",NA,50001,2007,2007-08-20,"Employee Benefits Security Administration"
"BUREAU OF REHABILITATION, INC.",NA,50001,2007,2007-07-23,"Employee Benefits Security Administration"
"BUSINESS PARTNERS, INC.",NA,50001,2002,2002-08-12,"Employee Benefits Security Administration"
"BUZZI UNICEM USA, INC.","Buzzi Unicem",50001,2008,2008-11-10,"Employee Benefits Security Administration"
"C RICE AWNINGS INC",NA,50001,2016,2016-07-01,"Employee Benefits Security Administration"
"CAMILLUS CUTLERY COMPANY",NA,50001,2008,2008-12-19,"Employee Benefits Security Administration"
"CAPITAL DISTRICT BEGINNINGS, INC.",NA,50001,2008,2008-02-08,"Employee Benefits Security Administration"
"Capitol Stampings Corp.",NA,50001,2007,2007-03-27,"Employee Benefits Security Administration"
"CAPSCO INDUSTRIES",NA,50001,2010,2010-01-11,"Employee Benefits Security Administration"
"CARDINAL TRANSPORTATION GROUP, INC.",NA,50001,2007,2007-07-23,"Employee Benefits Security Administration"
"CAREPOINT PHYSICIANS INC 401K PLAN",NA,50001,2001,2001-06-08,"Employee Benefits Security Administration"
"CARL WARREN & CO.",NA,100001,2007,2007-10-29,"Employee Benefits Security Administration"
"CARL WARREN & COMPANY",NA,50001,2007,2007-07-16,"Employee Benefits Security Administration"
"CARROLLTON GRAPHICS INC 401K PROFIT SHARING PLAN",NA,50001,2001,2001-03-30,"Employee Benefits Security Administration"
"CASH CYCLE SOLUTIONS, INC.",NA,50001,2017,2017-03-27,"Employee Benefits Security Administration"
"Cast Products Inc",NA,50001,2011,2011-02-28,"Employee Benefits Security Administration"
"Cattle Baron Restaurants",NA,50001,2015,2015-07-27,"Employee Benefits Security Administration"
"The C.D. Whitfield Company",NA,50001,2005,2005-09-07,"Employee Benefits Security Administration"
"CDS GROUP ACQUISITION, LLC",NA,50001,2009,2009-02-02,"Employee Benefits Security Administration"
"CENTRAL HEALTHCARE SERVICES, INC.",NA,50001,2006,2006-12-18,"Employee Benefits Security Administration"
"CENTRAL PRODUCTS COMPANY",NA,50001,2006,2006-11-06,"Employee Benefits Security Administration"
"CENTRAL TRACTOR FARM & COUNTRY INC RET SAVINGS PL",NA,50001,2001,2001-03-16,"Employee Benefits Security Administration"
"CENTURY HOMEBUILDERS LLC",NA,50001,2007,2007-08-20,"Employee Benefits Security Administration"
"C.H. FENSTERMAKER & ASSOCIATES, INC",NA,50001,2008,2008-10-01,"Employee Benefits Security Administration"
"CHARDONNAY DIALYSIS INC",NA,50001,2009,2009-10-19,"Employee Benefits Security Administration"
"CHARLIE HUMPHRIES, ,MD",NA,100001,2002,2002-09-20,"Employee Benefits Security Administration"
"CHARLIE THOMAS FORD, INC.",NA,50001,2004,2004-02-02,"Employee Benefits Security Administration"
"CHARRETTE COMMUNITY MANAGEMENT COMPANY",NA,50001,2016,2016-09-22,"Employee Benefits Security Administration"
"CHILD CARE LEARNING CENTERS INC.",NA,50001,2007,2007-03-26,"Employee Benefits Security Administration"
"CHINO MEDICAL GROUP, INC.",NA,50001,2009,2009-10-26,"Employee Benefits Security Administration"
"Choices Women's Medical Center",NA,50001,2006,2006-09-19,"Employee Benefits Security Administration"
"Choices Women's Medical Center Inc.",NA,100001,2006,2006-09-11,"Employee Benefits Security Administration"
"CIB MARINE BANCSHARES, INC.",NA,50001,2007,2007-07-16,"Employee Benefits Security Administration"
"CIB MARINE BANCSHARES, INC.",NA,50001,2006,2006-10-30,"Employee Benefits Security Administration"
"CINDRICH, MAHALAK & CO.",NA,50001,2016,2016-11-16,"Employee Benefits Security Administration"
"C.J. HUGHES CONSTRUCTION CO., INC.",NA,50001,2008,2008-09-05,"Employee Benefits Security Administration"
"CLARK LABORATORIES",NA,50001,2007,2007-07-02,"Employee Benefits Security Administration"
"COAST SIGN, INC.",NA,50001,2007,2007-06-18,"Employee Benefits Security Administration"
"COASTAL BRIDGE COMPANY, LLC",NA,50001,2017,2017-02-13,"Employee Benefits Security Administration"
"COLC0RD & SON, INC. PROFIT SHARING PLAN",NA,100001,2000,2000-05-12,"Employee Benefits Security Administration"
"Coldwell Construction, Inc.",NA,100001,2006,2006-08-28,"Employee Benefits Security Administration"
"COLONIE MOTORS, INC.",NA,50001,2008,2008-12-22,"Employee Benefits Security Administration"
"COMMUNITY HOUSING MNGMT SVC",NA,50001,2007,2007-09-10,"Employee Benefits Security Administration"
"COMPETITIVE MEDIA REPORTING, LLC",NA,50001,2006,2006-11-20,"Employee Benefits Security Administration"
"Competitive Media Reporting, LLC.",NA,50001,2007,2007-06-07,"Employee Benefits Security Administration"
"COMPUTER OUTSOURCING SERVICES INC 401K SAVINGS PL",NA,50001,2001,2001-01-22,"Employee Benefits Security Administration"
"Concepts of Independence Inc",NA,100001,2007,2007-07-30,"Employee Benefits Security Administration"
"Concepts of Independence, Inc",NA,100001,2006,2006-08-21,"Employee Benefits Security Administration"
"Consolidated Restaurant Operations, Inc.",NA,50001,2004,2004-03-15,"Employee Benefits Security Administration"
"CONSOLIDATED TIRES, INC.",NA,50001,2007,2007-10-15,"Employee Benefits Security Administration"
"Constantin Control Associates",NA,50001,2010,2010-11-15,"Employee Benefits Security Administration"
"CONTINUUM HEALTH CARE, INC.",NA,50001,2007,2007-07-02,"Employee Benefits Security Administration"
"Copart Inc.","Copart Inc.",50001,2007,2007-04-09,"Employee Benefits Security Administration"
"CORDOBA CORPORATION",NA,100001,2002,2002-10-18,"Employee Benefits Security Administration"
"Corporate Resource Mgmt Inc Employee Healthcare plan",NA,100001,2004,2004-09-20,"Employee Benefits Security Administration"
"COUDERT BROTHERS LLP",NA,50001,2010,2010-07-19,"Employee Benefits Security Administration"
"COVELLI FAMILY LIMITED PARTNERSHIP",NA,50001,2007,2007-08-20,"Employee Benefits Security Administration"
